well_num,site_depth
01-Well-A02,A1_45
01-Well-A03,A1_100
01-Well-A04,A1_150
01-Well-B02,B1_45
01-Well-B03,B1_100
01-Well-B04,B1_150
02-Well-A01,NA
02-Well-A02,A1_5
02-Well-A03,A1_25
02-Well-A04,A1_45
02-Well-A05,A1_75
02-Well-A06,A1_100
02-Well-A07,A1_125
02-Well-A08,A1_150
02-Well-A09,A1_175
02-Well-A10,A1_200
02-Well-A11,stain1
02-Well-A12,blank1
02-Well-B01,A2_107
02-Well-B02,A2_5
02-Well-B03,A2_25
02-Well-B04,A2_45
02-Well-B05,A2_75
02-Well-B06,A2_100
02-Well-B07,A2_125
02-Well-B08,A2_150
02-Well-B09,A2_175
02-Well-B10,A2_250
02-Well-B11,stain2
02-Well-B12,blank2
02-Well-C01,B1_93
02-Well-C02,B1_5
02-Well-C03,B1_25
02-Well-C04,B1_45
02-Well-C05,B1_75
02-Well-C06,B1_100
02-Well-C07,B1_125
02-Well-C08,B1_150
02-Well-C09,B1_175
02-Well-C10,B1_250
02-Well-C11,stain3
02-Well-C12,blank3
02-Well-D01,B2_88
02-Well-D02,B2_5
02-Well-D03,B2_25
02-Well-D04,B2_45
02-Well-D05,B2_75
02-Well-D06,B2_100
02-Well-D07,B2_125
02-Well-D08,B2_150
02-Well-D09,B2_175
02-Well-D10,B2_250
02-Well-D11,NA
02-Well-D12,NA
02-Well-E01,C1_132
02-Well-E02,C1_5
02-Well-E03,C1_25
02-Well-E04,C1_45
02-Well-E05,C1_75
02-Well-E06,C1_100
02-Well-E07,C1_125
02-Well-E08,C1_150
02-Well-E09,C1_175
02-Well-E10,C1_250
02-Well-E11,NA
02-Well-E12,NA
02-Well-F01,C2_120
02-Well-F02,C2_5
02-Well-F03,C2_25
02-Well-F04,C2_45
02-Well-F05,C2_75
02-Well-F06,C2_100
02-Well-F07,C2_125
02-Well-F08,C2_150
02-Well-F09,C2_175
02-Well-F10,C2_250
02-Well-F11,NA
02-Well-F12,NA
02-Well-G01,DEEP_DCM
02-Well-G02,DEEP_5
02-Well-G03,DEEP_25
02-Well-G04,DEEP_45
02-Well-G05,DEEP_75
02-Well-G06,DEEP_100
02-Well-G07,DEEP_125
02-Well-G08,DEEP_150
02-Well-G09,DEEP_175
02-Well-G10,DEEP_250
02-Well-G11,DEEP_300
02-Well-G12,DEEP_500
02-Well-H01,DEEP_750
02-Well-H02,DEEP_1000
02-Well-H03,DEEP_1500
02-Well-H04,NA
02-Well-H05,NA
02-Well-H06,NA
02-Well-H07,NA
02-Well-H08,NA
02-Well-H09,NA
02-Well-H10,NA
02-Well-H11,NA
02-Well-H12,NA
