Experiment Name:,,Exp_20240715_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Station,Depth,Abort(%):,Absolute Count:,All Events ,Include Events,Low Chlorophyll Events,Autotrophic (Hi Chl) Events,Small Autotrophs (Cyanobacteria) Events,Large Autotrophs (PicoEuks) Events,H1-UR Events,H1-UL Events,Heterotrophic Bacteria Events,Hoechst Junk Events,LowPECyanos Events,HighPECyanos Events,Chlorophyll Junk Events,True Autotrophs Events,H2-LL Events,H2-LR Events,All Events  Mean FSC-H,Include Mean FSC-H,Low Chlorophyll Mean FSC-H,Autotrophic (Hi Chl) Mean FSC-H,Small Autotrophs (Cyanobacteria) Mean FSC-H,Large Autotrophs (PicoEuks) Mean FSC-H,H1-UR Mean FSC-H,H1-UL Mean FSC-H,Heterotrophic Bacteria Mean FSC-H,Hoechst Junk Mean FSC-H,LowPECyanos Mean FSC-H,HighPECyanos Mean FSC-H,Chlorophyll Junk Mean FSC-H,True Autotrophs Mean FSC-H,H2-LL Mean FSC-H,H2-LR Mean FSC-H,All Events  Mean SSC-H,Include Mean SSC-H,Low Chlorophyll Mean SSC-H,Autotrophic (Hi Chl) Mean SSC-H,Small Autotrophs (Cyanobacteria) Mean SSC-H,Large Autotrophs (PicoEuks) Mean SSC-H,H1-UR Mean SSC-H,H1-UL Mean SSC-H,Heterotrophic Bacteria Mean SSC-H,Hoechst Junk Mean SSC-H,LowPECyanos Mean SSC-H,HighPECyanos Mean SSC-H,Chlorophyll Junk Mean SSC-H,True Autotrophs Mean SSC-H,H2-LL Mean SSC-H,H2-LR Mean SSC-H,All Events  Mean SybrGreen-H,Include Mean SybrGreen-H,Low Chlorophyll Mean SybrGreen-H,Autotrophic (Hi Chl) Mean SybrGreen-H,Small Autotrophs (Cyanobacteria) Mean SybrGreen-H,Large Autotrophs (PicoEuks) Mean SybrGreen-H,H1-UR Mean SybrGreen-H,H1-UL Mean SybrGreen-H,Heterotrophic Bacteria Mean SybrGreen-H,Hoechst Junk Mean SybrGreen-H,LowPECyanos Mean SybrGreen-H,HighPECyanos Mean SybrGreen-H,Chlorophyll Junk Mean SybrGreen-H,True Autotrophs Mean SybrGreen-H,H2-LL Mean SybrGreen-H,H2-LR Mean SybrGreen-H,All Events  Mean Chlorophyll-H,Include Mean Chlorophyll-H,Low Chlorophyll Mean Chlorophyll-H,Autotrophic (Hi Chl) Mean Chlorophyll-H,Small Autotrophs (Cyanobacteria) Mean Chlorophyll-H,Large Autotrophs (PicoEuks) Mean Chlorophyll-H,H1-UR Mean Chlorophyll-H,H1-UL Mean Chlorophyll-H,Heterotrophic Bacteria Mean Chlorophyll-H,Hoechst Junk Mean Chlorophyll-H,LowPECyanos Mean Chlorophyll-H,HighPECyanos Mean Chlorophyll-H,Chlorophyll Junk Mean Chlorophyll-H,True Autotrophs Mean Chlorophyll-H,H2-LL Mean Chlorophyll-H,H2-LR Mean Chlorophyll-H,All Events  Mean V-SSC-H,Include Mean V-SSC-H,Low Chlorophyll Mean V-SSC-H,Autotrophic (Hi Chl) Mean V-SSC-H,Small Autotrophs (Cyanobacteria) Mean V-SSC-H,Large Autotrophs (PicoEuks) Mean V-SSC-H,H1-UR Mean V-SSC-H,H1-UL Mean V-SSC-H,Heterotrophic Bacteria Mean V-SSC-H,Hoechst Junk Mean V-SSC-H,LowPECyanos Mean V-SSC-H,HighPECyanos Mean V-SSC-H,Chlorophyll Junk Mean V-SSC-H,True Autotrophs Mean V-SSC-H,H2-LL Mean V-SSC-H,H2-LR Mean V-SSC-H,All Events  Mean Violet660-H,Include Mean Violet660-H,Low Chlorophyll Mean Violet660-H,Autotrophic (Hi Chl) Mean Violet660-H,Small Autotrophs (Cyanobacteria) Mean Violet660-H,Large Autotrophs (PicoEuks) Mean Violet660-H,H1-UR Mean Violet660-H,H1-UL Mean Violet660-H,Heterotrophic Bacteria Mean Violet660-H,Hoechst Junk Mean Violet660-H,LowPECyanos Mean Violet660-H,HighPECyanos Mean Violet660-H,Chlorophyll Junk Mean Violet660-H,True Autotrophs Mean Violet660-H,H2-LL Mean Violet660-H,H2-LR Mean Violet660-H,All Events  Mean PE-H,Include Mean PE-H,Low Chlorophyll Mean PE-H,Autotrophic (Hi Chl) Mean PE-H,Small Autotrophs (Cyanobacteria) Mean PE-H,Large Autotrophs (PicoEuks) Mean PE-H,H1-UR Mean PE-H,H1-UL Mean PE-H,Heterotrophic Bacteria Mean PE-H,Hoechst Junk Mean PE-H,LowPECyanos Mean PE-H,HighPECyanos Mean PE-H,Chlorophyll Junk Mean PE-H,True Autotrophs Mean PE-H,H2-LL Mean PE-H,H2-LR Mean PE-H,All Events  Mean R-Phycocyanin-H,Include Mean R-Phycocyanin-H,Low Chlorophyll Mean R-Phycocyanin-H,Autotrophic (Hi Chl) Mean R-Phycocyanin-H,Small Autotrophs (Cyanobacteria) Mean R-Phycocyanin-H,Large Autotrophs (PicoEuks) Mean R-Phycocyanin-H,H1-UR Mean R-Phycocyanin-H,H1-UL Mean R-Phycocyanin-H,Heterotrophic Bacteria Mean R-Phycocyanin-H,Hoechst Junk Mean R-Phycocyanin-H,LowPECyanos Mean R-Phycocyanin-H,HighPECyanos Mean R-Phycocyanin-H,Chlorophyll Junk Mean R-Phycocyanin-H,True Autotrophs Mean R-Phycocyanin-H,H2-LL Mean R-Phycocyanin-H,H2-LR Mean R-Phycocyanin-H,All Events  Events/μL(B),Include Events/μL(B),Low Chlorophyll Events/μL(B),Autotrophic (Hi Chl) Events/μL(B),Small Autotrophs (Cyanobacteria) Events/μL(B),Large Autotrophs (PicoEuks) Events/μL(B),H1-UR Events/μL(B),H1-UL Events/μL(B),Heterotrophic Bacteria Events/μL(B),Hoechst Junk Events/μL(B),LowPECyanos Events/μL(B),HighPECyanos Events/μL(B),Chlorophyll Junk Events/μL(B),True Autotrophs Events/μL(B),H2-LL Events/μL(B),H2-LR Events/μL(B),All Events  Events/μL(V),Include Events/μL(V),Low Chlorophyll Events/μL(V),Autotrophic (Hi Chl) Events/μL(V),Small Autotrophs (Cyanobacteria) Events/μL(V),Large Autotrophs (PicoEuks) Events/μL(V),H1-UR Events/μL(V),H1-UL Events/μL(V),Heterotrophic Bacteria Events/μL(V),Hoechst Junk Events/μL(V),LowPECyanos Events/μL(V),HighPECyanos Events/μL(V),Chlorophyll Junk Events/μL(V),True Autotrophs Events/μL(V),H2-LL Events/μL(V),H2-LR Events/μL(V)
02-Well-A02,A1,5,0.57,Beads Population=#### Beads Count=1 Sample Volume=1μL,57872,48992,37464,11528,10917,128,9,28,35873,1554,10774,143,483,11045,0,0,4880.4,4258,3423.1,6971.4,3454.2,48865.2,12038.6,7286.8,3292.8,6310.8,3435.9,4836.9,75365.5,3980.5,####,####,8600.4,6845.6,2475.5,21048,2111.7,60321,42269.4,10818.8,1745.1,18955.2,2023.3,8771.5,438648,2786.3,####,####,2308.2,2036.4,1266.6,4538.3,3346.8,68688.5,5106.9,7607.1,1253.8,1426.2,3128.7,19777.4,14468.6,4104,####,####,1413.2,1208.6,278,4232.7,1351.4,246177.9,466.2,419.1,277,298,1210.6,11965.7,5239.1,4188.7,####,####,211631.4,185532.6,156857.9,278720.3,133240.2,2337181.8,2521059.5,743206.4,125700.1,851856.9,127224.3,586493.8,3021417.5,158781.6,####,####,443.8,396.4,310.8,674.6,396.5,16902.2,1541.9,1022,310.3,301.5,395.3,485.5,2660.2,587.8,####,####,412.5,401.9,361,534.7,446,8001.9,354.1,378.1,361,361.3,366.8,6414.8,560.3,533.6,####,####,559.7,504.5,296.5,1180.6,439.2,63143.3,310.4,327.9,296.5,294.4,409.1,2704.1,1516.8,1165.9,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,770.88,820.25,499.04,153.56,145.42,1.71,0.12,0.37,477.85,20.7,143.52,1.9,6.43,147.13,0,0
02-Well-A03,A1,25,0.57,Beads Population=#### Beads Count=1 Sample Volume=1μL,54364,48353,37151,11202,10382,135,11,35,35468,1637,10249,133,685,10517,0,0,5339,4706,3402.4,9029.4,3453.9,53864.3,11948.2,7262.7,3287.9,5742.7,3438.2,4666.4,84695.8,4101,####,####,11049.6,9092.5,2549.9,30791,2102.5,61895.1,31669.7,10168.5,1739.8,19742.4,2021.6,8337.6,459469.9,2870,####,####,2709,2278.2,1196.7,5864.7,3834.8,110388.9,5851.8,8366.9,1181.6,1339.1,3496,29938.9,16031,5202.6,####,####,1396,1322.6,279.6,4781.4,1371.7,268042.8,447.5,422.1,278.6,298.1,1217.3,13264.9,4576.8,4794.8,####,####,232750,207798.5,163409.4,355013.4,135467.4,2342020.5,2377220,790794.2,125793.5,950122.6,130069.9,551399.3,3290897.8,163791.5,####,####,447.1,417.5,314.2,760.2,402.7,15881.6,1142.3,1930.7,312.7,306.7,401.5,492.3,3199.6,601.4,####,####,450.7,438.4,361.7,693,454,18397.5,354.3,394.9,361.7,360.1,368.8,7021.6,826,684.4,####,####,529.7,512.5,296.7,1228,443.3,61830.6,285.6,306.2,297,290.7,413.3,2754.7,1176.7,1231.3,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,724.25,809.68,494.93,149.24,138.31,1.8,0.15,0.47,472.51,21.81,136.54,1.77,9.13,140.11,0,0
02-Well-A04,A1,45,2.05,Beads Population=#### Beads Count=1 Sample Volume=1μL,90473,89719,81440,8279,4051,49,4,12,12603,68821,3969,82,4179,4100,0,0,47008.3,47156.3,44181.3,76420.8,3220.2,69685.2,9817.8,7599.2,3027.6,51726,3191.6,4601.2,147458.3,4014.5,####,####,378825.1,381211.9,357661.6,612874.4,2976.3,68094.1,43779.4,11950.1,2095.3,422854,2800.4,11493.8,1210479.4,3754.6,####,####,1594.2,1438.2,794.5,7770.6,6485.6,91413.2,9296.2,11356.4,1644.5,636.5,4432,105881.5,8035.5,7500.6,####,####,641.2,591.2,275.9,3693.4,1590.7,213109.7,513.5,466.1,280.6,275,1374.1,12075.9,3276.3,4118.6,####,####,4149543.5,4171151.5,4377218.5,2144085.8,230988,3082412.3,2424093,905086.3,181879,5146218.5,218925.7,814832.5,3987584.3,265066,####,####,476.9,471.2,408.3,1089.3,420.8,17796.4,1560,1375.1,307.4,426.6,419.8,470.6,1541.3,628.5,####,####,402.7,400.8,377.6,629.3,477.7,11033.8,338,407.9,361.2,380.6,368.7,5750.7,654.3,603.8,####,####,377.7,370.1,297.6,1083.7,514.4,56285.3,251.9,323.4,297.6,297.6,470.6,2634.4,988.3,1180.9,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1206.05,1505.48,1085.63,110.36,54,0.65,0.05,0.16,168,917.42,52.91,1.09,55.71,54.65,0,0
02-Well-A05,A1,75,1.02,Beads Population=#### Beads Count=1 Sample Volume=1μL,95353,79809,66341,13468,10968,90,3,19,30917,35402,10843,125,2410,11058,0,0,38429,38784.6,33318.8,65708,3324.4,51958.6,8934.1,32602,3161.2,59658.3,3306,4917.4,350131.7,3720.2,####,####,248126.1,249218.8,220657.9,389904.8,2284.1,59503.9,29592.9,11305.2,1745.9,411965,2196.3,9892.5,2166320,2749.8,####,####,1917.5,1643.6,897.9,5316.6,4211,55827.4,9297.3,8701.1,1190.3,637.6,3544.4,62032.2,8462.1,4631.1,####,####,1063.6,1000.9,273.3,4584.7,1994.4,329621.1,396.4,426.6,272.4,274,1714.8,26246.2,4234.9,4660.9,####,####,2612077.5,2466825.3,2793930.8,855560.6,142516.4,2557994,1973619.3,856110.3,131618.8,5120070,136427,670727.8,4037075.3,162175.7,####,####,534.3,531.4,359.4,1378.5,397.3,18624.5,942.7,1105.8,309.7,402.4,394.1,674.5,5200.2,545.6,####,####,420,415.6,371.6,632.2,518.8,6744.3,333.6,417.1,361.8,380.1,368.4,13564.1,920.3,569.4,####,####,451.6,435.2,296.5,1118.3,509,75422.4,372.9,326.5,296.3,296.6,460.4,4731.5,1116.2,1118.8,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1270.71,1336.94,884.09,179.48,146.16,1.2,0.04,0.25,412.01,471.78,144.5,1.67,32.12,147.36,0,0
02-Well-A06,A1,100,0.95,Beads Population=#### Beads Count=1 Sample Volume=1μL,54190,45498,35360,10138,9384,334,7,14,34267,1072,9269,115,420,9718,0,0,5050.9,4650.8,3265.8,9481.3,3681.4,42913.3,13212.2,5366.5,3138,7258.4,3640.6,6972.3,112480.5,5029.8,####,####,11068.2,8659.4,2666.4,29562,4223.3,46685,89199,9821.6,1629.5,35153,4119.3,12609.4,582082.8,5682.7,####,####,2193.4,1945,1051.1,5062.7,3876.4,23384.5,6884.4,6895.5,1042.7,1206.3,2440.8,119583.9,16998.1,4546.9,####,####,6079.5,6178.9,271.4,26783.7,10724.8,488008.2,387.1,395.5,270.5,297.8,9464.5,112307.9,18800.7,27128.7,####,####,226278.2,192035.4,145118.5,355675.4,178731.8,1576698.4,2187173,739505.1,119328.6,948406.8,172613.8,671842.4,3338098.3,226778.8,####,####,560.8,548.7,310.3,1380.5,618.5,16578.8,2200.7,1215.1,310.1,291.7,599.8,2121.5,6320.6,1167,####,####,539.3,534.7,363.4,1132.1,1029.8,4335.6,353.9,380.4,363.4,362.6,382.5,53205.6,868.4,1143.5,####,####,1295.1,1321.6,294.1,4905.6,1652,87546.5,319.2,327.3,294.1,293.9,1442.1,18572.9,11880.6,4604.1,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,722.48,762.6,471.43,135.16,125.11,4.45,0.09,0.19,456.86,14.29,123.58,1.53,5.6,129.56,0,0
02-Well-A07,A1,125,1.37,Beads Population=#### Beads Count=1 Sample Volume=1μL,111759,96269,90222,6047,2790,164,5,12,19376,70829,2779,11,3093,2954,0,0,72524.9,75240.9,56985.8,347608.8,4610.3,47883,12041.4,5977.2,3000.9,71765.8,4594.9,8481.7,672898.6,7012.7,####,####,479671.6,498638,395716,2034247.4,9978.9,72482.8,29046.5,12256.1,1699.2,503594.2,9969.9,12263.2,3964230.8,13449,####,####,1139.1,943.1,680.4,4861.8,2273.6,17053.2,8761.9,5818.8,1104.4,563,1928.5,89442.9,6550,3094.1,####,####,2060.2,2066.1,273.6,28810,24737.4,577965.1,460.7,355.4,271.3,274.2,24363.6,119159.4,3365.8,55451.4,####,####,4184741.5,4177712.3,4255986.5,3009853,367638.6,2053943.3,1980941.8,872533.9,135488,5383925,366664.5,613734.1,5443913,461258.8,####,####,711.4,707.3,376.3,5644.8,1008,16321.4,2294,1025.7,314.1,393.1,1002.8,2328,9261.2,1858.2,####,####,431.4,429.1,382.3,1127.9,654.8,3914,360.7,408.2,363.1,387.5,417.1,60698.2,1407,835.7,####,####,559.2,546,296.3,4271.2,2993.8,92602.4,361.3,339.4,295.1,296.6,2921.2,21342,739.9,7968.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,1489.31,1612.63,1202.31,80.58,37.18,2.19,0.07,0.16,258.21,943.87,37.03,0.15,41.22,39.37,0,0
02-Well-A08,A1,150,0.9,Beads Population=#### Beads Count=1 Sample Volume=1μL,32304,29179,27981,1198,493,29,4,9,11435,16533,481,12,676,522,0,0,41441.6,41337,35772.6,171300.7,5502.4,33019.9,7552.8,5080.5,3034.4,58439.4,5504.6,5413.7,298147.9,7031.1,####,####,344777.2,347684,305367.8,1336038.6,12949.5,42168.2,27759.7,11549.8,1791,515563,12883.3,15601.9,2356460.5,14572.7,####,####,1618.1,1098.1,778.4,8564.2,9742.4,31120.4,12906.4,7787.3,1049.7,584,1622.4,335220.2,6737.2,10930.1,####,####,1436,1203.6,272.4,22952.3,30708.7,363878.3,490.1,407.9,270.3,273.7,30766.6,28387.6,2670.2,49218.1,####,####,3086955,3102796.3,3112320.3,2880351.8,398821.8,1600501.9,1702961.5,780727.4,135855.2,5172593.5,384035.4,991507.8,4745011.5,465581.8,####,####,461.5,417.7,352.4,1943.3,1158.5,10271.7,1387.8,1314.6,316.7,376.3,1171.2,649.1,2158.4,1664.8,####,####,400.2,395.1,379.9,750,662,844.6,379.3,459,363.3,391.3,429.7,9974.8,810.1,672.2,####,####,479.7,409.4,296.8,3039.7,3366.7,50024,283.6,232.5,295.7,297.6,3341,4396.4,785.7,5958.8,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,430.43,488.71,372.83,15.96,6.57,0.39,0.05,0.12,152.36,220.29,6.41,0.16,9.01,6.96,0,0
02-Well-A09,A1,175,0.86,Beads Population=#### Beads Count=1 Sample Volume=1μL,37717,24748,23409,1339,145,12,2,9,10984,12414,141,4,1182,157,0,0,78971.7,91961.3,45968.7,896023.1,5499.9,50156.1,12266.9,6934.2,3041,83985.3,5483.9,6060.9,1013854.2,8913.1,####,####,435951,511182.6,310041.4,4027623.3,10264.2,53094,32613.2,10809.6,1768.8,583064.9,10163.9,13801,4560797,13537.8,####,####,1651.3,1345.1,803.5,10814.2,15996.1,39304.8,13996.9,7330.6,1053.8,575.1,3310.3,463169.4,9889.2,17777.6,####,####,913.1,861.1,274.9,11109.2,23839.2,590495.1,645.3,381.4,271.9,277.4,24074.2,15558.5,3665.4,67150.5,####,####,3356622.5,2985390,2876005,4897710,320933.7,1548840.9,2475260,832880.1,132411.5,5305103,302369.7,975313.6,5493157.5,414786.4,####,####,1157.7,1087.2,337.3,14197.2,956.6,15296,2045.4,1535.5,317.5,353.6,969.9,489.1,15810.3,2052.7,####,####,487.8,495.1,379.4,2516.5,450.3,15034,378.3,414.3,364,393.1,406.7,1985.7,2642.9,1565,####,####,423.6,378,296.9,1795.7,2531.3,84693.6,326.5,279.5,295.4,298.3,2564.1,1375.6,863.9,8811.2,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,502.54,414.48,311.9,17.84,1.93,0.16,0.03,0.12,146.35,165.4,1.88,0.05,15.75,2.09,0,0
02-Well-A10,A1,250,0.47,Beads Population=#### Beads Count=1 Sample Volume=1μL,23519,17263,16313,950,95,6,7,11,10175,6120,72,23,849,101,0,0,54326.4,60100.4,31085.4,558332.6,5342.1,28607.8,11487.1,4792.9,3026.4,77805.6,4495,7994,623953.9,6724.3,####,####,306459.2,342206,212014.4,2577800.5,12736.6,41682.9,76258.1,10622.5,1757.7,562100.7,7903.9,27865,2882745,14456.2,####,####,2993.2,2934.5,837.2,38948.7,174550,590616.1,2563.8,5562.5,963.7,616.5,21400.8,653973.6,19876.7,199266.8,####,####,921.2,729.6,273.9,8555.9,17787.2,179770.3,371.5,296.9,270,280.1,15351.4,25412.2,6313,27410,####,####,2397789.8,2108535,1952921.1,4780668.5,711291,2390873.5,3762112.8,660013.8,131087.4,4982123,326307.3,1916457.4,5252906,811068.2,####,####,923.6,834.4,329.6,9503.4,695.1,5274.3,2040.5,1051.5,316.3,348.4,718.8,620.7,10518.9,967.1,####,####,583.2,616.6,375,4764.7,1340.3,3084.9,398.6,376.8,364.7,392.1,414,4239.9,5159.8,1443.9,####,####,473.3,380.9,296,1838.5,2025.5,19766.5,331.3,311.7,295.5,296.8,1737.7,2926.6,1690.9,3079.4,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,313.55,289.33,217.48,12.67,1.27,0.08,0.09,0.15,135.65,81.59,0.96,0.31,11.32,1.35,0,0
02-Well-A11,stain,-999,0.48,Beads Population=#### Beads Count=1 Sample Volume=1μL,18833,15048,13693,1355,22,13,29,8,1106,12550,15,7,1320,35,0,0,10621.8,10036,6406.1,46717.5,6206.9,174745.3,63891.3,318225,3684.9,6314.3,5539,7638,46131.8,68806.9,####,####,29123.6,26683.7,14917.3,145588.8,15781.3,295206.6,95915.4,12695.7,2259.1,15847.1,7708,33081.3,146278.8,119567.9,####,####,2393.5,1575.6,557.5,11863.8,292384.4,78399.8,843.2,771.1,642.8,549.2,55539.2,799909.9,6533.2,212904.4,####,####,1269.2,997.9,290.8,8143.5,12134.3,574514.4,357.4,638.1,269.1,292.3,5873.5,25550.2,2499.1,221018.4,####,####,1116585.3,1102005.9,863836.1,3508838.8,1243433.9,5040494.5,4609813.5,954728.9,166178.9,916604.9,619440.8,2580562,3531511,2653770.8,####,####,1488.9,1270.2,692,7113.9,864.5,14366.4,2217.3,1337.3,358.7,717.4,977.8,621.8,7146.7,5879.5,####,####,408,377.7,362.6,530.1,974,1216.8,391.1,1005.2,361.2,362.2,407.7,2187.5,516,1064.2,####,####,531.4,435.6,292.3,1883.5,785.2,129591.6,319.1,753.9,288.6,292.3,538,1315,644.1,48627.6,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,250.98,252.09,182.48,18.06,0.29,0.17,0.39,0.11,14.74,167.25,0.2,0.09,17.59,0.47,0,0
